V1,Participant,Word,Validity,Condition,Round
4,soeren,swat,1,Individual,1.0
5,soeren,table,1,Individual,1.0
7,soeren,lab,1,Individual,1.0
8,soeren,late,1,Individual,1.0
9,soeren,least,1,Individual,1.0
10,soeren,tables,1,Individual,1.0
11,soeren,labs,1,Individual,1.0
12,soeren,tab,1,Individual,1.0
13,soeren,tabs,1,Individual,1.0
14,soeren,bat,1,Individual,1.0
15,soeren,late,1,Individual,1.0
16,soeren,slate,1,Individual,1.0
17,soeren,swab,1,Individual,1.0
0,stine,ba,1,Individual,1.0
1,stine,bat,1,Individual,1.0
2,stine,bats,1,Individual,1.0
3,stine,west,1,Individual,1.0
4,stine,tesla,1,Individual,1.0
6,stine,best,1,Individual,1.0
7,stine,bet,1,Individual,1.0
8,stine,wet,1,Individual,1.0
9,stine,bets,1,Individual,1.0
10,stine,wets,1,Individual,1.0
11,stine,let,1,Individual,1.0
12,stine,lets,1,Individual,1.0
13,stine,blast,1,Individual,1.0
14,stine,blew,1,Individual,1.0
15,stine,law,1,Individual,1.0
16,stine,laws,1,Individual,1.0
17,stine,saw,1,Individual,1.0
18,stine,sew,1,Individual,1.0
19,stine,lab,1,Individual,1.0
20,stine,labs,1,Individual,1.0
21,stine,tab,1,Individual,1.0
22,stine,tabs,1,Individual,1.0
23,stine,able,1,Individual,1.0
24,stine,table,1,Individual,1.0
25,stine,tables,1,Individual,1.0
26,stine,swat,1,Individual,1.0
27,stine,slaw,1,Individual,1.0
28,stine,base,1,Individual,1.0
29,stine,best,1,Individual,1.0
30,stine,sweat,1,Individual,1.0
0,tsls2,west,1,Individual,1.0
1,tsls2,salt,1,Individual,1.0
3,tsls2,alt,1,Individual,1.0
4,tsls2,bat,1,Individual,1.0
5,tsls2,law,1,Individual,1.0
6,tsls2,tesla,1,Individual,1.0
7,tsls2,web,1,Individual,1.0
9,tsls2,sweat,1,Individual,1.0
10,tsls2,tab,1,Individual,1.0
11,tsls2,tables,1,Individual,1.0
12,tsls2,table,1,Individual,1.0
13,tsls2,set,1,Individual,1.0
14,tsls2,swat,1,Individual,1.0
15,tsls2,beats,1,Individual,1.0
16,tsls2,beat,1,Individual,1.0
17,tsls2,bats,1,Individual,1.0
18,tsls2,stab,1,Individual,1.0
19,tsls2,steal,1,Individual,1.0
20,tsls2,seal,1,Individual,1.0
21,tsls2,teal,1,Individual,1.0
24,tsls2,was,1,Individual,1.0
25,tsls2,salt,1,Individual,1.0
26,tsls2,last,1,Individual,1.0
27,tsls2,wet,1,Individual,1.0
29,tsls2,tables,1,Individual,1.0
30,tsls2,table,1,Individual,1.0
31,tsls2,tab,1,Individual,1.0
32,tsls2,steal,1,Individual,1.0
33,tsls2,stable,1,Individual,1.0
34,tsls2,stab,1,Individual,1.0
35,tsls2,stew,1,Individual,1.0
